Host	Symbiont
Peromyscus_californicus	g__CAG-475___Peromyscus_californicus___4921
Peromyscus_californicus	g__UBA3818___Peromyscus_californicus___1749
Hydrochoerus_hydrochaeris	f__Ruminococcaceae___Hydrochoerus_hydrochaeris___6040
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6091
Microtus_ochrogaster	f__Ruminococcaceae___Microtus_ochrogaster___6055
Mus_musculus_domesticus	s__Anaerotruncus_colihominis_A___Mus_musculus_domesticus___816
Mus_musculus_domesticus	s__Anaerotruncus_sp000403395___Mus_musculus_domesticus___813
Rattus_norvegicus	s__Anaerotruncus_sp003612625___Rattus_norvegicus___811
Rattus_norvegicus	s__Anaerotruncus_sp003612625___Rattus_norvegicus___810
Rattus_norvegicus	s__Anaerotruncus_sp003612625___Rattus_norvegicus___812
Mus_musculus_domesticus	s__Anaerotruncus_sp003612625___Mus_musculus_domesticus___807
Mus_musculus_domesticus	g__Anaerotruncus___Mus_musculus_domesticus___5343
Rattus_norvegicus	g__Anaerotruncus___Rattus_norvegicus___5345
Rattus_norvegicus	g__Angelakisella___Rattus_norvegicus___5338
Rattus_norvegicus	g__Angelakisella___Rattus_norvegicus___5339
Rattus_norvegicus	g__Angelakisella___Rattus_norvegicus___5340
Mus_musculus_domesticus	g__Angelakisella___Mus_musculus_domesticus___5330
Mus_musculus_domesticus	g__Angelakisella___Mus_musculus_domesticus___5331
Mus_musculus_domesticus	g__Angelakisella___Mus_musculus_domesticus___5332
Mus_musculus_domesticus	g__Angelakisella___Mus_musculus_domesticus___5333
Rattus_norvegicus	g__Angelakisella___Rattus_norvegicus___5341
Mus_musculus_domesticus	s__Angelakisella_sp013316495___Mus_musculus_domesticus___805
Mus_musculus_domesticus	s__Angelakisella_sp013316495___Mus_musculus_domesticus___806
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6060
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6061
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6068
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6062
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6066
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6067
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6063
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6070
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6064
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6065
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6069
Rattus_norvegicus	g__Harryflintia___Rattus_norvegicus___3499
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6089
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6090
Rattus_norvegicus	g__UBA1405___Rattus_norvegicus___2123
Rattus_norvegicus	g__UBA1405___Rattus_norvegicus___2124
Peromyscus_californicus	g__Ruminococcus___Peromyscus_californicus___2595
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2598
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2557
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2567
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2559
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2561
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2591
Rattus_norvegicus	s__Ruminococcus_sp002362135___Rattus_norvegicus___241
Rattus_norvegicus	s__Ruminococcus_sp002362135___Rattus_norvegicus___243
Rattus_norvegicus	s__Ruminococcus_sp002362135___Rattus_norvegicus___242
Microtus_ochrogaster	g__Ruminococcus___Microtus_ochrogaster___2578
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2593
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2574
Microtus_oeconomus	g__Ruminococcus___Microtus_oeconomus___2582
Microtus_ochrogaster	g__Ruminococcus___Microtus_ochrogaster___2579
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2563
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2568
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2566
Apodemus_flavicollis	g__Ruminococcus___Apodemus_flavicollis___2551
Mus_musculus_domesticus	g__Ruminococcus___Mus_musculus_domesticus___2583
Mus_musculus_domesticus	g__Ruminococcus___Mus_musculus_domesticus___2584
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2570
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2577
Hydrochoerus_hydrochaeris	g__Ruminococcus___Hydrochoerus_hydrochaeris___2555
Peromyscus_sonoriensis	g__Ruminococcus___Peromyscus_sonoriensis___2596
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2594
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2592
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2600
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2609
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2613
Rattus_norvegicus	s__Ruminococcus_sp900752785___Rattus_norvegicus___237
Microtus_ochrogaster	g__Ruminococcus___Microtus_ochrogaster___2580
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2590
Myodes_glareolus	g__Ruminococcus___Myodes_glareolus___2587
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2571
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2562
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2558
Myodes_glareolus	g__Ruminococcus___Myodes_glareolus___2588
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2576
Apodemus_agrarius	g__Ruminococcus___Apodemus_agrarius___2550
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2575
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2564
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2572
Myodes_glareolus	g__Ruminococcus___Myodes_glareolus___2589
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2565
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2560
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2604
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2605
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2607
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2610
Apodemus_flavicollis	g__Ruminococcus___Apodemus_flavicollis___2552
Apodemus_flavicollis	g__Ruminococcus___Apodemus_flavicollis___2553
Apodemus_flavicollis	g__Ruminococcus___Apodemus_flavicollis___2554
Microtus_oeconomus	g__Ruminococcus___Microtus_oeconomus___2581
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2569
Microtus_arvalis	s__Ruminococcus_sp009177225___Microtus_arvalis___239
Microtus_agrestis	s__Ruminococcus_sp009177225___Microtus_agrestis___238
Microtus_ochrogaster	s__Ruminococcus_sp009177225___Microtus_ochrogaster___240
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2573
Hydrochoerus_hydrochaeris	g__Ruminococcus___Hydrochoerus_hydrochaeris___2556
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2597
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2599
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2603
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2606
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2608
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2601
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2602
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2611
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2612
Microtus_agrestis	f__Ruminococcaceae___Microtus_agrestis___6041
Rattus_norvegicus	g__Ruminococcus_C___Rattus_norvegicus___2546
Rattus_norvegicus	g__Ruminococcus_C___Rattus_norvegicus___2547
Rattus_norvegicus	g__Ruminococcus_C___Rattus_norvegicus___2549
Rattus_norvegicus	g__Ruminococcus_C___Rattus_norvegicus___2548
Microtus_oeconomus	g__Ruminococcus_C___Microtus_oeconomus___2544
Myodes_glareolus	g__UBA3855___Myodes_glareolus___1744
Microtus_arvalis	g__UBA3855___Microtus_arvalis___1733
Microtus_oeconomus	g__UBA3855___Microtus_oeconomus___1742
Microtus_arvalis	g__UBA3855___Microtus_arvalis___1735
Microtus_oeconomus	g__UBA3855___Microtus_oeconomus___1743
Microtus_oeconomus	g__UBA3855___Microtus_oeconomus___1741
Microtus_ochrogaster	g__UBA3855___Microtus_ochrogaster___1738
Microtus_oeconomus	g__UBA3855___Microtus_oeconomus___1740
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1731
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1728
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1729
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1732
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1730
Microtus_arvalis	g__UBA3855___Microtus_arvalis___1736
Microtus_arvalis	g__UBA3855___Microtus_arvalis___1734
Microtus_ochrogaster	g__UBA3855___Microtus_ochrogaster___1737
Microtus_ochrogaster	g__UBA3855___Microtus_ochrogaster___1739
Neotoma_albigula	g__UBA1394___Neotoma_albigula___2135
Neotoma_albigula	g__UBA1394___Neotoma_albigula___2134
Apodemus_flavicollis	g__UBA1394___Apodemus_flavicollis___2126
Apodemus_flavicollis	g__UBA1394___Apodemus_flavicollis___2127
Apodemus_agrarius	g__UBA1394___Apodemus_agrarius___2125
Mus_musculus_domesticus	g__UBA1394___Mus_musculus_domesticus___2128
Mus_musculus_domesticus	g__UBA1394___Mus_musculus_domesticus___2129
Mus_musculus_domesticus	g__UBA1394___Mus_musculus_domesticus___2131
Mus_musculus_domesticus	g__UBA1394___Mus_musculus_domesticus___2130
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6083
Castor_canadensis	g__UBA5884___Castor_canadensis___1691
Peromyscus_californicus	g__CAG-353___Peromyscus_californicus___4946
Rattus_norvegicus	g__CAG-353___Rattus_norvegicus___4947
Rattus_norvegicus	g__CAG-353___Rattus_norvegicus___4949
Rattus_norvegicus	g__CAG-353___Rattus_norvegicus___4948
Rattus_norvegicus	g__CAG-353___Rattus_norvegicus___4950
Neotoma_albigula	g__CAG-353___Neotoma_albigula___4944
Microtus_arvalis	g__CAG-353___Microtus_arvalis___4939
Microtus_oeconomus	g__CAG-353___Microtus_oeconomus___4943
Microtus_ochrogaster	g__CAG-353___Microtus_ochrogaster___4940
Microtus_ochrogaster	g__CAG-353___Microtus_ochrogaster___4941
Microtus_ochrogaster	g__CAG-353___Microtus_ochrogaster___4942
Neotoma_albigula	g__CAG-353___Neotoma_albigula___4945
Microtus_ochrogaster	f__Ruminococcaceae___Microtus_ochrogaster___6053
Peromyscus_polionotus	g__UMGS363___Peromyscus_polionotus___1002
Peromyscus_polionotus	g__UBA946___Peromyscus_polionotus___1423
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6082
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6084
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6085
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6087
Apodemus_flavicollis	f__Ruminococcaceae___Apodemus_flavicollis___6037
Apodemus_agrarius	f__Ruminococcaceae___Apodemus_agrarius___6036
Microtus_arvalis	f__Ruminococcaceae___Microtus_arvalis___6048
Microtus_agrestis	f__Ruminococcaceae___Microtus_agrestis___6042
Microtus_ochrogaster	f__Ruminococcaceae___Microtus_ochrogaster___6051
Microtus_ochrogaster	f__Ruminococcaceae___Microtus_ochrogaster___6057
Microtus_arvalis	f__Ruminococcaceae___Microtus_arvalis___6049
Neotoma_albigula	f__Ruminococcaceae___Neotoma_albigula___6077
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6079
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6081
Peromyscus_californicus	g__UBA946___Peromyscus_californicus___1422
Microtus_arvalis	f__Ruminococcaceae___Microtus_arvalis___6044
Neotoma_albigula	f__Ruminococcaceae___Neotoma_albigula___6076
Neotoma_albigula	f__Ruminococcaceae___Neotoma_albigula___6078
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6080
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6086
Rattus_norvegicus	g__UMGS363___Rattus_norvegicus___1006
Apodemus_flavicollis	f__Ruminococcaceae___Apodemus_flavicollis___6038
Apodemus_flavicollis	f__Ruminococcaceae___Apodemus_flavicollis___6039
Microtus_oeconomus	f__Ruminococcaceae___Microtus_oeconomus___6058
Microtus_arvalis	f__Ruminococcaceae___Microtus_arvalis___6046
Microtus_ochrogaster	f__Ruminococcaceae___Microtus_ochrogaster___6054
Microtus_arvalis	f__Ruminococcaceae___Microtus_arvalis___6047
Microtus_arvalis	f__Ruminococcaceae___Microtus_arvalis___6050
Microtus_ochrogaster	f__Ruminococcaceae___Microtus_ochrogaster___6052
Microtus_ochrogaster	f__Ruminococcaceae___Microtus_ochrogaster___6056
Microtus_oeconomus	f__Ruminococcaceae___Microtus_oeconomus___6059
Rattus_norvegicus	g__UMGS363___Rattus_norvegicus___1003
Rattus_norvegicus	g__UMGS363___Rattus_norvegicus___1005
Rattus_norvegicus	g__UMGS363___Rattus_norvegicus___1004
Rattus_norvegicus	g__Ruminococcus_D___Rattus_norvegicus___2538
Rattus_norvegicus	g__Ruminococcus_D___Rattus_norvegicus___2539
Rattus_norvegicus	g__Ruminococcus_D___Rattus_norvegicus___2540
Rattus_norvegicus	g__Ruminococcus_D___Rattus_norvegicus___2541
Rattus_norvegicus	g__Ruminococcus_D___Rattus_norvegicus___2542
Rattus_norvegicus	g__Ruminococcus_D___Rattus_norvegicus___2543
Apodemus_flavicollis	g__Ruminococcus_D___Apodemus_flavicollis___2537
Rattus_norvegicus	s__UBA1409_sp900760125___Rattus_norvegicus___178
Rattus_norvegicus	s__UBA1409_sp900760125___Rattus_norvegicus___179
Peromyscus_californicus	g__CAG-115___Peromyscus_californicus___5128
Microtus_oeconomus	g__CAG-115___Microtus_oeconomus___5120
Peromyscus_maniculatus	g__CAG-115___Peromyscus_maniculatus___5129
Peromyscus_polionotus	g__CAG-115___Peromyscus_polionotus___5131
Peromyscus_sonoriensis	g__CAG-115___Peromyscus_sonoriensis___5132
Microtus_agrestis	g__CAG-115___Microtus_agrestis___5101
Neotoma_albigula	g__CAG-115___Neotoma_albigula___5127
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5134
Mus_musculus_domesticus	g__CAG-115___Mus_musculus_domesticus___5122
Mus_musculus_domesticus	g__CAG-115___Mus_musculus_domesticus___5123
Apodemus_agrarius	g__CAG-115___Apodemus_agrarius___5098
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5107
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5135
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5137
Apodemus_agrarius	g__CAG-115___Apodemus_agrarius___5099
Microtus_arvalis	g__CAG-115___Microtus_arvalis___5103
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5138
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5140
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5141
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5108
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5113
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5114
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5139
Rattus_norvegicus	s__CAG-115_sp002492075___Rattus_norvegicus___769
Rattus_norvegicus	s__CAG-115_sp002492075___Rattus_norvegicus___770
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5142
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5105
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5118
Microtus_arvalis	g__CAG-115___Microtus_arvalis___5102
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5106
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5112
Microtus_oeconomus	g__CAG-115___Microtus_oeconomus___5121
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5111
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5116
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5117
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5104
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5109
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5115
Microtus_ochrogaster	g__CAG-115___Microtus_ochrogaster___5110
Peromyscus_polionotus	g__CAG-115___Peromyscus_polionotus___5130
Apodemus_flavicollis	g__CAG-115___Apodemus_flavicollis___5100
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5133
Rattus_norvegicus	g__CAG-115___Rattus_norvegicus___5136
Microtus_oeconomus	g__CAG-115___Microtus_oeconomus___5119
Peromyscus_californicus	g__Ruminiclostridium_E___Peromyscus_californicus___2647
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2660
Microtus_oeconomus	g__Ruminiclostridium_E___Microtus_oeconomus___2629
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2617
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2619
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2626
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2628
Neotoma_albigula	g__Ruminiclostridium_E___Neotoma_albigula___2644
Neotoma_albigula	g__Ruminiclostridium_E___Neotoma_albigula___2643
Rattus_norvegicus	s__Ruminiclostridium_E_sp003508605___Rattus_norvegicus___244
Mus_musculus_domesticus	g__Ruminiclostridium_E___Mus_musculus_domesticus___2631
Mus_musculus_domesticus	g__Ruminiclostridium_E___Mus_musculus_domesticus___2633
Microtus_arvalis	g__Ruminiclostridium_E___Microtus_arvalis___2614
Microtus_arvalis	g__Ruminiclostridium_E___Microtus_arvalis___2615
Microtus_oeconomus	g__Ruminiclostridium_E___Microtus_oeconomus___2630
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2616
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2621
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2622
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2624
Neotoma_albigula	g__Ruminiclostridium_E___Neotoma_albigula___2645
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2651
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2653
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2659
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2657
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2652
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2658
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2654
Neotoma_albigula	g__Ruminiclostridium_E___Neotoma_albigula___2646
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2650
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2649
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2656
Rattus_norvegicus	g__Ruminiclostridium_E___Rattus_norvegicus___2655
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2627
Peromyscus_sonoriensis	g__Ruminiclostridium_E___Peromyscus_sonoriensis___2648
Mus_musculus_domesticus	g__Ruminiclostridium_E___Mus_musculus_domesticus___2632
Mus_musculus_domesticus	g__Ruminiclostridium_E___Mus_musculus_domesticus___2634
Mus_musculus_domesticus	g__Ruminiclostridium_E___Mus_musculus_domesticus___2636
Mus_musculus_domesticus	g__Ruminiclostridium_E___Mus_musculus_domesticus___2637
Mus_musculus_domesticus	g__Ruminiclostridium_E___Mus_musculus_domesticus___2638
Mus_musculus_domesticus	g__Ruminiclostridium_E___Mus_musculus_domesticus___2635
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2625
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2618
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2620
Microtus_ochrogaster	g__Ruminiclostridium_E___Microtus_ochrogaster___2623
Rattus_norvegicus	s__UBA866_sp900543295___Rattus_norvegicus___64
Rattus_norvegicus	s__UBA866_sp900543295___Rattus_norvegicus___65
Mus_musculus_domesticus	g__UBA866___Mus_musculus_domesticus___1426
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6088
Microtus_arvalis	f__Ruminococcaceae___Microtus_arvalis___6043
Microtus_arvalis	f__Ruminococcaceae___Microtus_arvalis___6045
Peromyscus_polionotus	g__UBA7177___Peromyscus_polionotus___1472
Neotoma_albigula	g__UBA7177___Neotoma_albigula___1471
Microtus_ochrogaster	g__UBA7177___Microtus_ochrogaster___1467
Microtus_ochrogaster	g__UBA7177___Microtus_ochrogaster___1468
Rattus_norvegicus	s__UBA7177_sp002491225___Rattus_norvegicus___85
Rattus_norvegicus	g__UBA7177___Rattus_norvegicus___1473
Rattus_norvegicus	g__Faecalibacterium___Rattus_norvegicus___3527
Rattus_norvegicus	g__Gemmiger___Rattus_norvegicus___3500
Mus_musculus_domesticus	g__Ruthenibacterium___Mus_musculus_domesticus___2526
Neotoma_lepida	g__Ruthenibacterium___Neotoma_lepida___2529
Rattus_norvegicus	g__Ruthenibacterium___Rattus_norvegicus___2530
Microtus_ochrogaster	g__Ruthenibacterium___Microtus_ochrogaster___2525
Neotoma_albigula	g__UBA6857___Neotoma_albigula___1680
Rattus_norvegicus	g__UBA6857___Rattus_norvegicus___1682
Neotoma_albigula	g__UBA6857___Neotoma_albigula___1681
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5043
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5045
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5061
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5042
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5050
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5044
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5046
Rattus_norvegicus	s__CAG-180_sp002361875___Rattus_norvegicus___763
Rattus_norvegicus	s__CAG-180_sp002490425___Rattus_norvegicus___762
Microtus_oeconomus	g__CAG-180___Microtus_oeconomus___5041
Microtus_ochrogaster	g__CAG-180___Microtus_ochrogaster___5039
Microtus_ochrogaster	g__CAG-180___Microtus_ochrogaster___5040
Microtus_ochrogaster	g__CAG-180___Microtus_ochrogaster___5038
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5047
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5052
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5056
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5057
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5060
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5062
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5048
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5053
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5049
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5051
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5055
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5054
Mus_musculus_domesticus	s__CAG-180_sp900540295___Mus_musculus_domesticus___760
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5058
Rattus_norvegicus	g__CAG-180___Rattus_norvegicus___5059
Neotoma_albigula	g__Eubacterium_R___Neotoma_albigula___3563
Apodemus_agrarius	g__Eubacterium_R___Apodemus_agrarius___3536
Apodemus_flavicollis	g__Eubacterium_R___Apodemus_flavicollis___3545
Apodemus_flavicollis	g__Eubacterium_R___Apodemus_flavicollis___3546
Apodemus_agrarius	g__Eubacterium_R___Apodemus_agrarius___3541
Rattus_norvegicus	g__Eubacterium_R___Rattus_norvegicus___3570
Rattus_norvegicus	g__Eubacterium_R___Rattus_norvegicus___3571
Rattus_norvegicus	g__Eubacterium_R___Rattus_norvegicus___3574
Rattus_norvegicus	g__Eubacterium_R___Rattus_norvegicus___3573
Rattus_norvegicus	g__Eubacterium_R___Rattus_norvegicus___3572
Rattus_norvegicus	g__Eubacterium_R___Rattus_norvegicus___3575
Rattus_norvegicus	g__Eubacterium_R___Rattus_norvegicus___3576
Neotoma_albigula	g__Eubacterium_R___Neotoma_albigula___3565
Neotoma_albigula	g__Eubacterium_R___Neotoma_albigula___3566
Mus_musculus_domesticus	g__Eubacterium_R___Mus_musculus_domesticus___3557
Mus_musculus_domesticus	s__Eubacterium_R_sp009774735___Mus_musculus_domesticus___469
Mus_musculus_domesticus	s__Eubacterium_R_sp009774735___Mus_musculus_domesticus___470
Apodemus_flavicollis	s__Eubacterium_R_sp009774735___Apodemus_flavicollis___468
Apodemus_agrarius	g__Eubacterium_R___Apodemus_agrarius___3538
Apodemus_agrarius	g__Eubacterium_R___Apodemus_agrarius___3537
Rattus_norvegicus	s__Eubacterium_R_sp002493325___Rattus_norvegicus___482
Microtus_ochrogaster	g__Eubacterium_R___Microtus_ochrogaster___3554
Microtus_ochrogaster	g__Eubacterium_R___Microtus_ochrogaster___3555
Neotoma_stephensi	g__Eubacterium_R___Neotoma_stephensi___3568
Neotoma_albigula	g__Eubacterium_R___Neotoma_albigula___3567
Neotoma_albigula	g__Eubacterium_R___Neotoma_albigula___3564
Microtus_ochrogaster	g__Eubacterium_R___Microtus_ochrogaster___3553
Rattus_norvegicus	g__Eubacterium_R___Rattus_norvegicus___3569
Rattus_norvegicus	s__Eubacterium_R_sp014465955___Rattus_norvegicus___459
Rattus_norvegicus	s__Eubacterium_R_sp014465955___Rattus_norvegicus___462
Rattus_norvegicus	s__Eubacterium_R_sp014465955___Rattus_norvegicus___463
Rattus_norvegicus	s__Eubacterium_R_sp014465955___Rattus_norvegicus___460
Rattus_norvegicus	s__Eubacterium_R_sp014465955___Rattus_norvegicus___461
Mus_musculus_domesticus	g__Eubacterium_R___Mus_musculus_domesticus___3558
Mus_musculus_domesticus	g__Eubacterium_R___Mus_musculus_domesticus___3561
Apodemus_agrarius	g__Eubacterium_R___Apodemus_agrarius___3540
Apodemus_flavicollis	g__Eubacterium_R___Apodemus_flavicollis___3544
Apodemus_flavicollis	g__Eubacterium_R___Apodemus_flavicollis___3547
Apodemus_agrarius	g__Eubacterium_R___Apodemus_agrarius___3542
Microtus_arvalis	g__Eubacterium_R___Microtus_arvalis___3549
Microtus_oeconomus	g__Eubacterium_R___Microtus_oeconomus___3556
Microtus_arvalis	g__Eubacterium_R___Microtus_arvalis___3552
Microtus_arvalis	g__Eubacterium_R___Microtus_arvalis___3550
Microtus_agrestis	g__Eubacterium_R___Microtus_agrestis___3548
Apodemus_agrarius	g__Eubacterium_R___Apodemus_agrarius___3543
Microtus_arvalis	g__Eubacterium_R___Microtus_arvalis___3551
Apodemus_agrarius	g__Eubacterium_R___Apodemus_agrarius___3539
Apodemus_flavicollis	s__Eubacterium_R_sp009774715___Apodemus_flavicollis___471
